iter	Passed	Remaining
0	142	142282
1	146	73341
2	150	50061
3	153	38211
4	156	31164
5	158	26291
6	160	22820
7	162	20134
8	164	18092
9	165	16432
10	167	15050
11	168	13901
12	170	12928
13	172	12131
14	174	11474
15	176	10849
16	177	10292
17	179	9787
18	181	9357
19	182	8955
20	184	8592
21	185	8254
22	187	7945
23	188	7677
24	191	7461
25	192	7221
26	194	6996
27	195	6786
28	196	6593
29	198	6409
30	200	6261
31	201	6102
32	203	5952
33	205	5832
34	207	5708
35	208	5590
36	210	5473
37	212	5367
38	213	5262
39	214	5157
40	216	5061
41	218	4980
42	219	4894
43	221	4807
44	222	4723
45	223	4644
46	225	4579
47	227	4511
48	228	4441
49	230	4373
50	231	4308
51	233	4255
52	235	4212
53	237	4154
54	238	4097
55	240	4050
56	241	4000
57	243	3956
58	245	3913
59	246	3869
60	249	3833
61	251	3804
62	253	3768
63	255	3734
64	257	3701
65	258	3661
66	260	3622
67	261	3583
68	263	3551
69	267	3553
70	269	3520
71	270	3489
72	272	3460
73	274	3429
74	275	3397
75	276	3365
76	278	3333
77	285	3377
78	288	3359
79	289	3330
80	291	3304
81	292	3278
82	293	3241
83	295	3222
84	297	3206
85	300	3192
86	302	3169
87	303	3148
88	305	3123
89	306	3098
90	308	3077
91	311	3073
92	312	3050
93	314	3027
94	315	3004
95	316	2984
96	318	2965
97	319	2945
98	321	2923
99	322	2903
100	323	2882
101	326	2870
102	328	2857
103	329	2842
104	331	2825
105	332	2806
106	334	2787
107	335	2769
108	337	2758
109	339	2744
110	341	2732
111	342	2719
112	344	2703
113	346	2691
114	347	2674
115	348	2657
116	349	2638
117	350	2622
118	351	2605
119	353	2590
120	354	2576
121	356	2563
122	358	2553
123	359	2538
124	362	2536
125	367	2547
126	369	2536
127	370	2522
128	372	2513
129	374	2503
130	375	2491
131	376	2477
132	377	2463
133	379	2450
134	380	2436
135	381	2424
136	383	2414
137	384	2402
138	385	2389
139	388	2388
140	390	2379
141	391	2366
142	393	2357
143	394	2346
144	396	2335
145	397	2324
146	398	2314
147	400	2304
148	403	2304
149	405	2298
150	407	2289
151	408	2280
